cellid,layer,cell_type,cell_subtype
5537195692,L6,neuron,bipolar
5550234595,L6,neuron,bipolar
5551577637,L6,neuron,bipolar
5553812751,L6,neuron,bipolar
5566048331,L6,neuron,bipolar
5566471743,L6,neuron,bipolar
5578663121,L6,neuron,bipolar
5593994520,L6,neuron,bipolar
5594315088,L6,neuron,bipolar
5609136304,L6,neuron,bipolar
5609441675,L6,neuron,bipolar
5611676375,L6,neuron,bipolar
5623896693,L6,neuron,bipolar
5651799007,L6,neuron,bipolar
5654281423,L6,neuron,bipolar
5668561627,L6,neuron,bipolar
5680534415,L6,neuron,bipolar
5696317590,L6,neuron,bipolar
5697062393,L6,neuron,bipolar
5709925486,L6,neuron,bipolar
5725578457,L6,neuron,bipolar
5741377673,L6,neuron,bipolar
5753626288,L6,neuron,bipolar
5754239725,L6,neuron,bipolar
5754604567,L6,neuron,bipolar
5768227279,L6,neuron,bipolar
5768490087,L6,neuron,bipolar
5795852767,L6,neuron,bipolar
5814220911,L6,neuron,bipolar
5827565726,L6,neuron,bipolar
5841641104,L6,neuron,bipolar
5842415041,L6,neuron,bipolar
5842736181,L6,neuron,bipolar
5855979281,L6,neuron,bipolar
5856300492,L6,neuron,bipolar
5856681379,L6,neuron,bipolar
5856855332,L6,neuron,bipolar
5858667210,L6,neuron,bipolar
5884846255,L6,neuron,bipolar
5885489433,L6,neuron,bipolar
5898892521,L6,neuron,bipolar
5899623213,L6,neuron,bipolar
5902412181,L6,neuron,bipolar
5929744268,L6,neuron,bipolar
5942169441,L6,neuron,bipolar
5957938062,L6,neuron,bipolar
5959778486,L6,neuron,bipolar
5975007104,L6,neuron,bipolar
5986498025,L6,neuron,bipolar
6003055361,L6,neuron,bipolar
6030578027,L6,neuron,bipolar
6031148777,L6,neuron,bipolar
6031251318,L6,neuron,bipolar
6033163501,L6,neuron,bipolar
6048756362,L6,neuron,bipolar
6059386352,L6,neuron,bipolar
6060540440,L6,neuron,bipolar
6061941185,L6,neuron,bipolar
6074542279,L6,neuron,bipolar
6089143395,L6,neuron,bipolar
6089406844,L6,neuron,bipolar
6090517070,L6,neuron,bipolar
6105335791,L6,neuron,bipolar
6105438686,L6,neuron,bipolar
6105802392,L6,neuron,bipolar
6117557133,L6,neuron,bipolar
6119118591,L6,neuron,bipolar
6146962623,L6,neuron,bipolar
6161125602,L6,neuron,bipolar
6190211117,L6,neuron,bipolar
6191481068,L6,neuron,bipolar
6206258735,L6,neuron,bipolar
6206360170,L6,neuron,bipolar
6219969344,L6,neuron,bipolar
6223371186,L6,neuron,bipolar
6237299270,L6,neuron,bipolar
6251229281,L6,neuron,bipolar
6265538743,L6,neuron,bipolar
6265727162,L6,neuron,bipolar
6279103172,L6,neuron,bipolar
6294345137,L6,neuron,bipolar
6294564355,L6,neuron,bipolar
6296828300,L6,neuron,bipolar
6322437858,L6,neuron,bipolar
6336806574,L6,neuron,bipolar
6350297711,L6,neuron,bipolar
6351305306,L6,neuron,bipolar
6366314710,L6,neuron,bipolar
6380886461,L6,neuron,bipolar
6381513086,L6,neuron,bipolar
6381542289,L6,neuron,bipolar
6381761908,L6,neuron,bipolar
6382507301,L6,neuron,bipolar
6396918186,L6,neuron,bipolar
6397136171,L6,neuron,bipolar
6410715337,L6,neuron,bipolar
6425359893,L6,neuron,bipolar
6425404732,L6,neuron,bipolar
6428221702,L6,neuron,bipolar
6439772042,L6,neuron,bipolar
