cellid,layer,cell_type,cell_subtype
2019654250,L2,neuron,pyramidal
2020296824,L2,neuron,pyramidal
2031015338,L2,neuron,pyramidal
2047191643,L2,neuron,pyramidal
2047411032,L2,neuron,pyramidal
2047644309,L2,neuron,pyramidal
2047922200,L2,neuron,pyramidal
2047981401,L2,neuron,pyramidal
2061749327,L2,neuron,pyramidal
2061836455,L2,neuron,pyramidal
2062129966,L2,neuron,pyramidal
2062245301,L2,neuron,pyramidal
2062261179,L2,neuron,pyramidal
2062407077,L2,neuron,pyramidal
2062684707,L2,neuron,pyramidal
2062844003,L2,neuron,pyramidal
2062859376,L2,neuron,pyramidal
2063588575,L2,neuron,pyramidal
2076584617,L2,neuron,pyramidal
2090469515,L2,neuron,pyramidal
2090630190,L2,neuron,pyramidal
2090702625,L2,neuron,pyramidal
2090951917,L2,neuron,pyramidal
2090994622,L2,neuron,pyramidal
2091155727,L2,neuron,pyramidal
2091242837,L2,neuron,pyramidal
2091390399,L2,neuron,pyramidal
2091491230,L2,neuron,pyramidal
2105188037,L2,neuron,pyramidal
2105961568,L2,neuron,pyramidal
2106661563,L2,neuron,pyramidal
2106691359,L2,neuron,pyramidal
2107201773,L2,neuron,pyramidal
2119088725,L2,neuron,pyramidal
2120080725,L2,neuron,pyramidal
2121804251,L2,neuron,pyramidal
2134666611,L2,neuron,pyramidal
2134783019,L2,neuron,pyramidal
2135367599,L2,neuron,pyramidal
2135601994,L2,neuron,pyramidal
2135878371,L2,neuron,pyramidal
2136098827,L2,neuron,pyramidal
2136317545,L2,neuron,pyramidal
2149559297,L2,neuron,pyramidal
2149895209,L2,neuron,pyramidal
2150173208,L2,neuron,pyramidal
2150611127,L2,neuron,pyramidal
2163723414,L2,neuron,pyramidal
2164101881,L2,neuron,pyramidal
2164116457,L2,neuron,pyramidal
2164452878,L2,neuron,pyramidal
2165197040,L2,neuron,pyramidal
2178659288,L2,neuron,pyramidal
2179783658,L2,neuron,pyramidal
2180047433,L2,neuron,pyramidal
2192851921,L2,neuron,pyramidal
2193377846,L2,neuron,pyramidal
2194005518,L2,neuron,pyramidal
2194311293,L2,neuron,pyramidal
2207773724,L2,neuron,pyramidal
2208737576,L2,neuron,pyramidal
2222228570,L2,neuron,pyramidal
2223763106,L2,neuron,pyramidal
2236464955,L2,neuron,pyramidal
2236743071,L2,neuron,pyramidal
2236858906,L2,neuron,pyramidal
2237502253,L2,neuron,pyramidal
2250904772,L2,neuron,pyramidal
2251123788,L2,neuron,pyramidal
2251474234,L2,neuron,pyramidal
2251780890,L2,neuron,pyramidal
2251927076,L2,neuron,pyramidal
2252715458,L2,neuron,pyramidal
2252759090,L2,neuron,pyramidal
2266148211,L2,neuron,pyramidal
2266411191,L2,neuron,pyramidal
2267082860,L2,neuron,pyramidal
2279596352,L2,neuron,pyramidal
2280500999,L2,neuron,pyramidal
2280735656,L2,neuron,pyramidal
2280851941,L2,neuron,pyramidal
2282501359,L2,neuron,pyramidal
2293774375,L2,neuron,pyramidal
2294839471,L2,neuron,pyramidal
2295249495,L2,neuron,pyramidal
2295336484,L2,neuron,pyramidal
2295540138,L2,neuron,pyramidal
2295627644,L2,neuron,pyramidal
2308695556,L2,neuron,pyramidal
2310112452,L2,neuron,pyramidal
2323881190,L2,neuron,pyramidal
2324289622,L2,neuron,pyramidal
2324363695,L2,neuron,pyramidal
2324597169,L2,neuron,pyramidal
2338219033,L2,neuron,pyramidal
2339430678,L2,neuron,pyramidal
2339824866,L2,neuron,pyramidal
2352907564,L2,neuron,pyramidal
2353740486,L2,neuron,pyramidal
2354703535,L2,neuron,pyramidal
2367319755,L2,neuron,pyramidal
2368034011,L2,neuron,pyramidal
2368926329,L2,neuron,pyramidal
2369583314,L2,neuron,pyramidal
2381758939,L2,neuron,pyramidal
2383979755,L2,neuron,pyramidal
2395762580,L2,neuron,pyramidal
2396565382,L2,neuron,pyramidal
2396871483,L2,neuron,pyramidal
2397046856,L2,neuron,pyramidal
2397543162,L2,neuron,pyramidal
2412086187,L2,neuron,pyramidal
2412304432,L2,neuron,pyramidal
2426016106,L2,neuron,pyramidal
2426936243,L2,neuron,pyramidal
2427095828,L2,neuron,pyramidal
2427182644,L2,neuron,pyramidal
2427255856,L2,neuron,pyramidal
2428089327,L2,neuron,pyramidal
2428089412,L2,neuron,pyramidal
2440295429,L2,neuron,pyramidal
2440412699,L2,neuron,pyramidal
2440952622,L2,neuron,pyramidal
2440996449,L2,neuron,pyramidal
2441054499,L2,neuron,pyramidal
2441156405,L2,neuron,pyramidal
2441608441,L2,neuron,pyramidal
2455349265,L2,neuron,pyramidal
2456473348,L2,neuron,pyramidal
2456488265,L2,neuron,pyramidal
2469467945,L2,neuron,pyramidal
2469905195,L2,neuron,pyramidal
2484272568,L2,neuron,pyramidal
2484316542,L2,neuron,pyramidal
2484579996,L2,neuron,pyramidal
2485382268,L2,neuron,pyramidal
2499340950,L2,neuron,pyramidal
2499574436,L2,neuron,pyramidal
2499647431,L2,neuron,pyramidal
2500143837,L2,neuron,pyramidal
2500436384,L2,neuron,pyramidal
2513518632,L2,neuron,pyramidal
2513855217,L2,neuron,pyramidal
2526806478,L2,neuron,pyramidal
2527127825,L2,neuron,pyramidal
2528236649,L2,neuron,pyramidal
2528821146,L2,neuron,pyramidal
2528849424,L2,neuron,pyramidal
2528908583,L2,neuron,pyramidal
2529186127,L2,neuron,pyramidal
2529754787,L2,neuron,pyramidal
2529946031,L2,neuron,pyramidal
2541568191,L2,neuron,pyramidal
2542721640,L2,neuron,pyramidal
2542837524,L2,neuron,pyramidal
2542866565,L2,neuron,pyramidal
2542998139,L2,neuron,pyramidal
2543700057,L2,neuron,pyramidal
2544093112,L2,neuron,pyramidal
2556824934,L2,neuron,pyramidal
2557087923,L2,neuron,pyramidal
2557249560,L2,neuron,pyramidal
2557293393,L2,neuron,pyramidal
2557365208,L2,neuron,pyramidal
2557876210,L2,neuron,pyramidal
2558417614,L2,neuron,pyramidal
2558796208,L2,neuron,pyramidal
2571514217,L2,neuron,pyramidal
2571922378,L2,neuron,pyramidal
2572039182,L2,neuron,pyramidal
2572608984,L2,neuron,pyramidal
2572667040,L2,neuron,pyramidal
2572916515,L2,neuron,pyramidal
2586026954,L2,neuron,pyramidal
2587180409,L2,neuron,pyramidal
2587210558,L2,neuron,pyramidal
2587678689,L2,neuron,pyramidal
2587810028,L2,neuron,pyramidal
2588087251,L2,neuron,pyramidal
2601592601,L2,neuron,pyramidal
2601679224,L2,neuron,pyramidal
2601738464,L2,neuron,pyramidal
2615725385,L2,neuron,pyramidal
2615799357,L2,neuron,pyramidal
2615929829,L2,neuron,pyramidal
2616207315,L2,neuron,pyramidal
2616398255,L2,neuron,pyramidal
2631072364,L2,neuron,pyramidal
2631290905,L2,neuron,pyramidal
2631335203,L2,neuron,pyramidal
2644081619,L2,neuron,pyramidal
2644475905,L2,neuron,pyramidal
2644986643,L2,neuron,pyramidal
2645175615,L2,neuron,pyramidal
2645585717,L2,neuron,pyramidal
2646548593,L2,neuron,pyramidal
2658989242,L2,neuron,pyramidal
2659426828,L2,neuron,pyramidal
2659587917,L2,neuron,pyramidal
2659689317,L2,neuron,pyramidal
2659820373,L2,neuron,pyramidal
2659981075,L2,neuron,pyramidal
2660302276,L2,neuron,pyramidal
2675269381,L2,neuron,pyramidal
2686497541,L2,neuron,pyramidal
2688584515,L2,neuron,pyramidal
2688832623,L2,neuron,pyramidal
2689299830,L2,neuron,pyramidal
2702573322,L2,neuron,pyramidal
2703390332,L2,neuron,pyramidal
2704033285,L2,neuron,pyramidal
2704368330,L2,neuron,pyramidal
2731657369,L2,neuron,pyramidal
2732066380,L2,neuron,pyramidal
2732256187,L2,neuron,pyramidal
2732489837,L2,neuron,pyramidal
2733191045,L2,neuron,pyramidal
2733336658,L2,neuron,pyramidal
2733774822,L2,neuron,pyramidal
2746317613,L2,neuron,pyramidal
2746740149,L2,neuron,pyramidal
2747018735,L2,neuron,pyramidal
2747791923,L2,neuron,pyramidal
2748346789,L2,neuron,pyramidal
2762335134,L2,neuron,pyramidal
2775797778,L2,neuron,pyramidal
2776219772,L2,neuron,pyramidal
2790236705,L2,neuron,pyramidal
2790280608,L2,neuron,pyramidal
2790411730,L2,neuron,pyramidal
2791785717,L2,neuron,pyramidal
2804954335,L2,neuron,pyramidal
2805261125,L2,neuron,pyramidal
2806181770,L2,neuron,pyramidal
2806575658,L2,neuron,pyramidal
2819263349,L2,neuron,pyramidal
2819644029,L2,neuron,pyramidal
2819965007,L2,neuron,pyramidal
2820212798,L2,neuron,pyramidal
2820811396,L2,neuron,pyramidal
2820841652,L2,neuron,pyramidal
2832405255,L2,neuron,pyramidal
2833952006,L2,neuron,pyramidal
2834143448,L2,neuron,pyramidal
2834346317,L2,neuron,pyramidal
2834405122,L2,neuron,pyramidal
2834594560,L2,neuron,pyramidal
2848114900,L2,neuron,pyramidal
2848334860,L2,neuron,pyramidal
2848772571,L2,neuron,pyramidal
2849342802,L2,neuron,pyramidal
2849487516,L2,neuron,pyramidal
2849941552,L2,neuron,pyramidal
2862496917,L2,neuron,pyramidal
2863125070,L2,neuron,pyramidal
2863212347,L2,neuron,pyramidal
2863358879,L2,neuron,pyramidal
2864249525,L2,neuron,pyramidal
2878557957,L2,neuron,pyramidal
2878631272,L2,neuron,pyramidal
2878631738,L2,neuron,pyramidal
2892166145,L2,neuron,pyramidal
2893217939,L2,neuron,pyramidal
2893319780,L2,neuron,pyramidal
2907191400,L2,neuron,pyramidal
2907263880,L2,neuron,pyramidal
2909017956,L2,neuron,pyramidal
2921237196,L2,neuron,pyramidal
2921252543,L2,neuron,pyramidal
2921471473,L2,neuron,pyramidal
2921573497,L2,neuron,pyramidal
2922638673,L2,neuron,pyramidal
2922696925,L2,neuron,pyramidal
2922974734,L2,neuron,pyramidal
2936305389,L2,neuron,pyramidal
2936991472,L2,neuron,pyramidal
2950643092,L2,neuron,pyramidal
2950730788,L2,neuron,pyramidal
2951446513,L2,neuron,pyramidal
2951534228,L2,neuron,pyramidal
2951563303,L2,neuron,pyramidal
2951636268,L2,neuron,pyramidal
2951636766,L2,neuron,pyramidal
2951738527,L2,neuron,pyramidal
2951739644,L2,neuron,pyramidal
2951957696,L2,neuron,pyramidal
2965390239,L2,neuron,pyramidal
