cellid,layer,cell_type,cell_subtype
20057249036,L1,neuron,interneuron
20408241268,L1,neuron,interneuron
20582971332,L1,neuron,interneuron
20931950621,L1,neuron,interneuron
21323637311,L1,neuron,interneuron
21498674495,L1,neuron,interneuron
21717908337,L1,neuron,interneuron
24237178228,L1,neuron,interneuron
24265680264,L1,neuron,interneuron
24324127313,L1,neuron,interneuron
26998740948,L1,neuron,interneuron
27232079787,L1,neuron,interneuron
27248225946,L1,neuron,interneuron
27362700438,L1,neuron,interneuron
27435851686,L1,neuron,interneuron
27598182404,L1,neuron,interneuron
27669598317,L1,neuron,interneuron
27697734565,L1,neuron,interneuron
27815958890,L1,neuron,interneuron
27843642573,L1,neuron,interneuron
27889385624,L1,neuron,interneuron
27903666758,L1,neuron,interneuron
27918718136,L1,neuron,interneuron
28224944968,L1,neuron,interneuron
28354721210,L1,neuron,interneuron
28413940497,L1,neuron,interneuron
28632677850,L1,neuron,interneuron
28703305432,L1,neuron,interneuron
28719918831,L1,neuron,interneuron
28792064571,L1,neuron,interneuron
28806665367,L1,neuron,interneuron
28891950842,L1,neuron,interneuron
29023885243,L1,neuron,interneuron
29113053062,L1,neuron,interneuron
29185502823,L1,neuron,interneuron
29199971792,L1,neuron,interneuron
29200000371,L1,neuron,interneuron
29212690935,L1,neuron,interneuron
29273560552,L1,neuron,interneuron
29329791878,L1,neuron,interneuron
29373813886,L1,neuron,interneuron
29548265340,L1,neuron,interneuron
29563669960,L1,neuron,interneuron
29578431064,L1,neuron,interneuron
29592827819,L1,neuron,interneuron
29650762991,L1,neuron,interneuron
29693896616,L1,neuron,interneuron
29723930368,L1,neuron,interneuron
29868888048,L1,neuron,interneuron
29943426971,L1,neuron,interneuron
30117456344,L1,neuron,interneuron
30159799672,L1,neuron,interneuron
30291121483,L1,neuron,interneuron
30714198683,L1,neuron,interneuron
30817077566,L1,neuron,interneuron
30888476935,L1,neuron,interneuron
31078201683,L1,neuron,interneuron
31151732414,L1,neuron,interneuron
31282630243,L1,neuron,interneuron
31326038404,L1,neuron,interneuron
31339560339,L1,neuron,interneuron
31544367620,L1,neuron,interneuron
31733086368,L1,neuron,interneuron
31878964222,L1,neuron,interneuron
31980616908,L1,neuron,interneuron
35718106909,L1,neuron,interneuron
35761881446,L1,neuron,interneuron
35806443174,L1,neuron,interneuron
35820241326,L1,neuron,interneuron
36010258987,L1,neuron,interneuron
36040495167,L1,neuron,interneuron
36096681531,L1,neuron,interneuron
36112421929,L1,neuron,interneuron
36126555101,L1,neuron,interneuron
36170168467,L1,neuron,interneuron
36171919332,L1,neuron,interneuron
36214264050,L1,neuron,interneuron
36228251348,L1,neuron,interneuron
36258519843,L1,neuron,interneuron
36301826370,L1,neuron,interneuron
36330415163,L1,neuron,interneuron
36345292668,L1,neuron,interneuron
36388293317,L1,neuron,interneuron
36389708786,L1,neuron,interneuron
36432489438,L1,neuron,interneuron
36462275639,L1,neuron,interneuron
36491054355,L1,neuron,interneuron
36504736465,L1,neuron,interneuron
36520488598,L1,neuron,interneuron
36592823290,L1,neuron,interneuron
36621675715,L1,neuron,interneuron
36621719715,L1,neuron,interneuron
36636276414,L1,neuron,interneuron
36636349501,L1,neuron,interneuron
36680151910,L1,neuron,interneuron
36681233232,L1,neuron,interneuron
36709718670,L1,neuron,interneuron
36738877941,L1,neuron,interneuron
36753726428,L1,neuron,interneuron
36767758567,L1,neuron,interneuron
36797733900,L1,neuron,interneuron
36825330266,L1,neuron,interneuron
36826482986,L1,neuron,interneuron
36942459652,L1,neuron,interneuron
36972756865,L1,neuron,interneuron
36986437970,L1,neuron,interneuron
36999885275,L1,neuron,interneuron
37015552275,L1,neuron,interneuron
37044505889,L1,neuron,interneuron
37073838900,L1,neuron,interneuron
37088455260,L1,neuron,interneuron
37103345919,L1,neuron,interneuron
37145660784,L1,neuron,interneuron
37145705245,L1,neuron,interneuron
37146142910,L1,neuron,interneuron
37204633909,L1,neuron,interneuron
37263710577,L1,neuron,interneuron
37292211030,L1,neuron,interneuron
37335781117,L1,neuron,interneuron
37352555622,L1,neuron,interneuron
37381013126,L1,neuron,interneuron
37408801249,L1,neuron,interneuron
37452370153,L1,neuron,interneuron
37452457096,L1,neuron,interneuron
37585224550,L1,neuron,interneuron
37598202955,L1,neuron,interneuron
37657193082,L1,neuron,interneuron
37702045826,L1,neuron,interneuron
37714443412,L1,neuron,interneuron
37728430863,L1,neuron,interneuron
37729205125,L1,neuron,interneuron
37744361943,L1,neuron,interneuron
37789286205,L1,neuron,interneuron
37888926140,L1,neuron,interneuron
37890253294,L1,neuron,interneuron
37891172759,L1,neuron,interneuron
37933063877,L1,neuron,interneuron
38021722126,L1,neuron,interneuron
38049361279,L1,neuron,interneuron
38122322669,L1,neuron,interneuron
38180069462,L1,neuron,interneuron
38180508026,L1,neuron,interneuron
38195400935,L1,neuron,interneuron
38398981809,L1,neuron,interneuron
38400981287,L1,neuron,interneuron
38456962083,L1,neuron,interneuron
38485858513,L1,neuron,interneuron
38500561611,L1,neuron,interneuron
38502896595,L1,neuron,interneuron
38559038773,L1,neuron,interneuron
38559067111,L1,neuron,interneuron
38660880666,L1,neuron,interneuron
38675963543,L1,neuron,interneuron
