cellid,layer,cell_type,cell_subtype
2865695360,L1,glial,astrocyte
2879639004,L1,glial,astrocyte
2895920648,L1,glial,astrocyte
2909278925,L1,glial,astrocyte
2909965869,L1,glial,astrocyte
2923690109,L1,glial,astrocyte
2952454130,L1,glial,astrocyte
2953096882,L1,glial,astrocyte
2966996921,L1,glial,astrocyte
2967114742,L1,glial,astrocyte
2981949030,L1,glial,astrocyte
2982663789,L1,glial,astrocyte
2982723144,L1,glial,astrocyte
3025576398,L1,glial,astrocyte
3039754274,L1,glial,astrocyte
3054822131,L1,glial,astrocyte
3070021191,L1,glial,astrocyte
3070124442,L1,glial,astrocyte
3070679585,L1,glial,astrocyte
3083454876,L1,glial,astrocyte
3085221637,L1,glial,astrocyte
3099325558,L1,glial,astrocyte
3114483165,L1,glial,astrocyte
3128893748,L1,glial,astrocyte
3142063277,L1,glial,astrocyte
3142588543,L1,glial,astrocyte
3142763676,L1,glial,astrocyte
3143537447,L1,glial,astrocyte
3171396566,L1,glial,astrocyte
3185631897,L1,glial,astrocyte
3200350560,L1,glial,astrocyte
3200510811,L1,glial,astrocyte
3200744311,L1,glial,astrocyte
3201459507,L1,glial,astrocyte
3215375068,L1,glial,astrocyte
3215783064,L1,glial,astrocyte
3215856021,L1,glial,astrocyte
3215973640,L1,glial,astrocyte
3229188131,L1,glial,astrocyte
3244299198,L1,glial,astrocyte
3244533318,L1,glial,astrocyte
3245409118,L1,glial,astrocyte
3259921972,L1,glial,astrocyte
3272639351,L1,glial,astrocyte
3272829754,L1,glial,astrocyte
3302031617,L1,glial,astrocyte
3317217287,L1,glial,astrocyte
3318005692,L1,glial,astrocyte
3331613917,L1,glial,astrocyte
3361136383,L1,glial,astrocyte
3361223959,L1,glial,astrocyte
3375518855,L1,glial,astrocyte
3389390187,L1,glial,astrocyte
3391232151,L1,glial,astrocyte
3404093203,L1,glial,astrocyte
3433644549,L1,glial,astrocyte
3434755925,L1,glial,astrocyte
3448011908,L1,glial,astrocyte
3448085241,L1,glial,astrocyte
3448318862,L1,glial,astrocyte
3462628475,L1,glial,astrocyte
3463825816,L1,glial,astrocyte
3477023898,L1,glial,astrocyte
